match_id,date,h_team,a_team,team,h_a,minute,player,shot_id,result,situation,shotType,xG,X,Y,fast_break,isKeyPass,dist_m,angle_deg,is_header
26986,2024-08-17 17:00:00,Osasuna,Leganes,,h,19,Rubén García,584982,SavedShot,OpenPlay,LeftFoot,0.05556301400065422,0.88,0.47099998474121096,,,12.753383397839423,31.714267833684538,0
26986,2024-08-17 17:00:00,Osasuna,Leganes,,a,19,Miguel De la Fuente,584983,BlockedShot,OpenPlay,RightFoot,0.028106210753321648,0.840999984741211,0.710999984741211,,,22.01336304887676,14.539739389535589,0
26986,2024-08-17 17:00:00,Osasuna,Leganes,,a,21,Juan Cruz,584984,Goal,OpenPlay,LeftFoot,0.49323713779449463,0.960999984741211,0.4209999847412109,,,6.754808159359414,42.9226410645227,0
26986,2024-08-17 17:00:00,Osasuna,Leganes,,h,27,Ante Budimir,584985,BlockedShot,OpenPlay,LeftFoot,0.06388305127620697,0.879000015258789,0.6370000076293946,,,15.754518398067605,21.60696699512336,0
26986,2024-08-17 17:00:00,Osasuna,Leganes,,h,48,Jon Moncayola,584986,MissedShots,OpenPlay,LeftFoot,0.08496511727571487,0.9309999847412109,0.4590000152587891,,,7.762923832541688,48.531899988152745,0
26986,2024-08-17 17:00:00,Osasuna,Leganes,,a,49,Javi Hernández,584987,SavedShot,SetPiece,LeftFoot,0.08387947827577591,0.965,0.6,,,7.729529416465145,30.130366724558293,0
26986,2024-08-17 17:00:00,Osasuna,Leganes,,h,53,Rubén García,584988,MissedShots,SetPiece,Head,0.04846840724349022,0.919000015258789,0.44099998474121094,,,9.403783816779661,39.682309828657324,1
26986,2024-08-17 17:00:00,Osasuna,Leganes,,h,56,Ante Budimir,584989,BlockedShot,OpenPlay,LeftFoot,0.05080081894993782,0.855,0.45,,,15.600020032038422,25.856028634542156,0
26986,2024-08-17 17:00:00,Osasuna,Leganes,,h,57,Ante Budimir,584990,SavedShot,OpenPlay,LeftFoot,0.07071075588464737,0.8540000152587891,0.5220000076293946,,,15.40282014533797,26.624392488062586,0
26986,2024-08-17 17:00:00,Osasuna,Leganes,,h,58,Alejandro Catena,584991,SavedShot,FromCorner,Head,0.030659038573503494,0.9119999694824219,0.4540000152587891,,,9.755103111967037,39.597397415745014,1
26986,2024-08-17 17:00:00,Osasuna,Leganes,,h,63,Aimar Oroz,584992,MissedShots,OpenPlay,Head,0.5040144920349121,0.945,0.514000015258789,,,5.852942078612009,63.73409083420697,1
26986,2024-08-17 17:00:00,Osasuna,Leganes,,a,66,Raba,584993,BlockedShot,OpenPlay,LeftFoot,0.04765826463699341,0.7869999694824219,0.4620000076293945,,,22.513782926226355,18.35342585810396,0
26986,2024-08-17 17:00:00,Osasuna,Leganes,,a,67,Yvan Neyou,584994,MissedShots,OpenPlay,RightFoot,0.019998719915747643,0.7780000305175782,0.3,,,26.987329445749413,13.423592962269332,0
26986,2024-08-17 17:00:00,Osasuna,Leganes,,a,69,Darko Brasanac,584995,SavedShot,OpenPlay,RightFoot,0.26933547854423523,0.9059999847412109,0.33,,,15.200346431147373,18.363077904108444,0
26986,2024-08-17 17:00:00,Osasuna,Leganes,,h,70,Bryan Zaragoza,584996,BlockedShot,OpenPlay,RightFoot,0.07076040655374527,0.8690000152587891,0.615,,,15.822527640178963,23.021386840714296,0
26986,2024-08-17 17:00:00,Osasuna,Leganes,,h,72,Alejandro Catena,584997,MissedShots,SetPiece,Head,0.5111766457557678,0.9480000305175781,0.46299999237060546,,,6.011807017790176,60.35481741833308,1
26986,2024-08-17 17:00:00,Osasuna,Leganes,,h,76,Aimar Oroz,584998,BlockedShot,OpenPlay,LeftFoot,0.05061455816030502,0.8069999694824219,0.5540000152587891,,,20.594998094009615,19.85650022129911,0
26986,2024-08-17 17:00:00,Osasuna,Leganes,,h,77,Aimar Oroz,584999,SavedShot,OpenPlay,Head,0.018500687554478645,0.875999984741211,0.539000015258789,,,13.287345529638435,30.29073295165208,1
26986,2024-08-17 17:00:00,Osasuna,Leganes,,h,78,Aimar Oroz,585000,BlockedShot,FromCorner,RightFoot,0.040261782705783844,0.815,0.549000015258789,,,19.708700005696773,20.763638263783786,0
26986,2024-08-17 17:00:00,Osasuna,Leganes,,a,78,Juan Soriano,585001,OwnGoal,FromCorner,RightFoot,0,0.02,0.5020000076293946,,,102.90008987431018,4.074126759804268,0
26986,2024-08-17 17:00:00,Osasuna,Leganes,,a,81,Aritz Arambarri,585002,BlockedShot,SetPiece,Head,0.04174470156431198,0.8630000305175781,0.4590000152587891,,,14.652681359578558,27.61301221590318,1
26986,2024-08-17 17:00:00,Osasuna,Leganes,,h,82,Bryan Zaragoza,585003,SavedShot,OpenPlay,RightFoot,0.02529895305633545,0.799000015258789,0.625,,,22.75238355364744,17.03284356403932,0
26986,2024-08-17 17:00:00,Osasuna,Leganes,,h,85,Jorge Herrando,585004,SavedShot,FromCorner,LeftFoot,0.048003070056438446,0.8809999847412109,0.5609999847412109,,,13.165521654320926,29.764261725851703,0
